id,female,age,state
343,0,60,1
344,1,59,1
345,1,68,1
346,0,68,1
347,0,64,1
348,0,59,2
349,0,66,2
350,1,64,2
351,1,58,1
352,0,56,1
353,1,59,2
354,1,63,2
355,0,64,1
356,1,58,1
357,0,67,1
358,0,59,1
359,0,58,3
360,1,59,2
361,0,63,1
362,1,55,1
363,1,64,2
364,0,62,1
365,1,52,1
366,0,65,1
367,0,66,1
368,1,60,3
369,0,59,1
370,1,58,1
371,1,60,1
372,0,60,1
373,0,60,1
374,1,57,1
375,1,59,1
376,0,59,2
377,0,59,1
378,1,65,1
379,0,59,2
380,1,60,1
381,1,63,1
382,0,64,1
383,1,65,1
384,1,65,1
385,1,67,2
386,1,61,1
387,1,61,1
388,0,64,1
389,1,54,1
390,1,62,1
391,0,67,1
392,1,70,1
393,1,59,1
394,1,62,1
395,0,63,1
396,0,63,1
397,1,64,1
398,0,70,1
399,1,55,2
400,1,63,2
401,0,66,1
402,0,67,3
403,1,54,1
404,1,65,1
405,0,66,1
406,1,59,1
407,0,61,2
408,1,68,1
409,0,74,2
410,1,63,1
411,0,68,2
412,0,60,1
413,0,65,1
414,1,62,1
415,0,59,1
416,1,53,1
417,1,62,1
418,0,56,1
419,1,69,1
420,0,70,1
421,0,64,1
422,1,65,1
423,0,68,1
424,1,66,1
425,0,59,1
426,1,61,1
427,0,67,2
428,1,72,1
429,1,63,2
430,1,61,1
431,1,66,1
432,0,68,1
433,1,65,1
434,0,64,2
435,1,53,2
436,1,62,3
437,0,69,2
438,1,64,1
439,0,66,1
440,0,58,1
441,0,66,1
442,0,59,2
443,1,56,1
444,1,61,1
445,0,62,2
446,1,62,2
447,1,68,1
448,0,65,3
449,0,59,2
450,1,53,1
451,1,61,1
452,0,66,1
453,1,65,1
454,1,64,1
455,0,69,1
456,1,59,1
457,1,59,1
458,0,59,1
459,1,62,1
460,0,63,1
461,0,65,2
462,1,57,1
463,1,55,1
464,0,58,1
465,0,68,1
466,1,58,1
467,1,65,1
468,0,59,1
469,0,66,1
470,1,65,1
471,0,71,1
472,1,65,1
473,0,76,1
474,1,59,1
475,0,60,1
476,1,61,1
477,0,61,1
478,1,60,1
479,0,65,1
480,1,74,1
481,0,68,1
482,1,53,1
483,0,62,1
484,1,62,1
485,0,60,1
486,1,54,1
487,0,60,1
488,1,54,1
489,0,68,3
490,0,61,1
491,1,63,1
492,1,67,1
493,0,68,1
494,1,65,1
495,0,69,1
496,1,63,1
497,0,75,1
498,1,66,2
499,0,74,1
500,1,60,1
501,0,58,1
502,1,65,1
503,1,61,1
504,0,61,2
505,1,61,2
506,0,63,1
507,0,61,1
508,1,55,1
509,1,61,1
510,0,59,1
511,1,57,1
512,1,60,1
513,1,60,1
514,0,61,1
515,0,69,1
516,1,65,1
517,0,59,1
518,1,57,1
519,1,67,2
520,0,60,1
521,0,59,1
522,1,56,1
523,1,65,1
524,0,62,1
525,1,55,1
526,0,65,1
527,1,65,1
528,0,62,2
529,1,62,1
530,1,58,1
531,0,69,1
532,0,58,1
533,1,54,1
534,1,62,2
535,0,61,1
536,0,63,2
537,1,62,2
538,1,66,1
539,0,69,1
540,0,60,1
541,1,58,1
542,0,61,1
543,0,61,1
544,1,57,1
545,1,64,1
546,0,69,1
547,0,69,2
548,1,67,1
549,0,65,1
550,1,64,1
551,0,59,1
552,1,55,1
553,1,67,1
554,0,70,1
555,0,58,1
556,1,56,1
557,0,58,1
558,1,65,1
559,0,69,1
560,1,61,3
561,0,60,1
562,1,62,1
563,0,61,1
564,0,59,1
565,1,53,1
566,1,64,2
567,0,68,1
568,0,66,1
569,1,69,1
570,0,68,1
571,0,66,1
572,1,56,1
573,0,60,1
574,1,56,1
575,0,58,1
576,1,55,1
577,0,65,2
578,1,58,1
579,0,61,1
580,0,68,1
581,1,76,2
582,1,66,1
583,0,72,1
584,0,57,1
585,0,60,2
586,0,67,1
587,1,67,2
588,1,59,1
589,0,66,1
590,1,71,1
591,1,68,1
592,1,60,2
593,0,61,1
594,1,65,2
595,0,62,1
596,1,55,1
597,1,53,1
598,0,59,1
599,0,61,1
600,1,52,1
601,1,67,1
602,1,58,1
603,1,61,1
604,1,68,1
605,0,73,1
606,0,59,3
607,1,61,1
608,0,63,1
609,0,63,2
610,1,68,2
611,0,66,1
612,1,64,1
613,1,59,1
614,0,68,1
615,0,60,1
616,0,62,2
617,1,60,1
618,0,62,1
619,1,60,1
620,0,62,1
621,1,61,1
622,0,61,1
623,1,60,1
624,0,82,3
625,1,60,1
626,0,62,1
627,1,69,1
628,0,69,1
629,1,68,1
630,0,69,1
631,1,63,1
632,0,59,1
633,0,59,1
634,1,57,1
635,0,68,1
636,1,67,1
637,1,68,1
638,0,67,1
639,1,53,1
640,0,56,1
641,0,61,2
642,0,64,1
643,0,67,1
644,1,62,1
645,1,58,1
646,0,65,1
647,0,59,1
648,0,63,1
649,1,59,1
650,1,69,1
651,1,65,1
652,0,67,1
653,0,58,1
654,1,67,1
655,0,70,1
656,1,69,2
657,1,66,2
658,1,60,3
659,0,57,3
660,1,60,1
661,0,60,3
662,0,58,1
663,1,58,1
664,1,60,1
665,0,59,1
666,0,62,1
667,0,64,1
668,0,68,1
669,1,67,1
670,0,62,1
671,0,61,1
672,1,55,1
673,1,60,1
674,0,57,1
675,0,69,1
676,0,63,1
677,1,61,1
678,1,68,1
679,1,65,1
680,1,64,1
681,1,64,1
682,0,64,2
683,1,58,1
684,0,66,1
685,1,60,1
686,0,63,1
687,1,61,1
688,0,64,1
689,1,60,1
690,0,69,1
691,1,65,1
692,0,65,2
693,0,62,1
694,0,67,1
695,1,67,2
696,1,59,1
697,0,59,1
698,1,63,1
699,0,58,1
700,0,64,1
701,1,67,1
702,0,70,1
703,1,64,1
704,0,65,1
705,1,69,1
706,1,67,2
707,0,77,1
708,0,64,1
709,1,58,2
710,1,68,3
711,1,69,3
712,0,76,3
713,0,64,1
714,1,60,1
715,1,67,1
716,0,71,2
717,1,63,1
718,0,66,1
719,0,59,1
720,0,62,1
721,1,59,1
722,1,69,1
723,0,66,2
724,0,66,1
725,1,62,1
726,0,67,1
727,1,64,1
728,0,63,1
729,0,66,1
730,1,64,2
731,1,66,1
732,0,69,1
733,1,66,1
734,1,61,1
735,1,62,2
736,0,74,1
737,1,58,1
738,0,71,2
739,1,62,1
740,0,72,1
741,1,60,1
742,0,62,1
743,1,68,1
744,0,81,1
745,0,61,1
746,1,60,1
747,0,62,1
748,0,60,2
749,1,66,1
750,1,68,1
751,0,65,1
752,1,64,1
753,0,68,1
754,1,52,1
755,0,59,1
756,1,54,1
757,1,66,1
758,0,66,1
759,0,60,2
760,1,56,2
761,0,58,1
762,1,65,1
763,0,69,1
764,0,59,1
765,1,59,1
766,1,61,1
767,0,62,1
768,1,62,1
769,1,67,1
770,0,67,2
771,0,66,1
772,1,62,1
773,0,64,1
774,1,72,1
775,1,66,1
776,0,73,1
777,1,64,1
778,1,62,1
779,0,62,2
780,1,67,1
781,0,71,1
782,1,67,1
783,1,63,2
784,0,62,1
785,1,65,1
786,1,59,1
787,1,59,1
788,0,59,1
789,1,68,1
790,1,67,1
791,0,58,1
792,0,59,1
793,1,57,1
794,0,60,1
795,1,53,1
796,0,62,1
797,1,58,1
798,1,68,1
799,0,73,2
800,0,60,1
801,1,57,1
802,1,57,1
803,0,56,1
804,1,57,1
805,0,69,1
806,1,69,1
807,0,67,1
808,1,58,1
809,0,68,2
810,0,60,1
811,1,55,1
812,1,60,1
813,1,65,1
814,0,67,2
815,1,58,1
816,0,67,1
817,1,58,1
818,0,62,1
819,1,60,1
820,0,63,1
821,0,60,1
822,1,58,1
823,1,68,1
824,0,68,1
825,0,69,1
826,1,55,1
827,0,60,1
828,1,59,2
829,0,62,3
830,1,62,1
831,1,68,1
832,0,76,2
833,1,59,1
834,0,63,1
835,1,52,1
836,1,59,1
837,1,67,1
838,1,63,2
839,0,66,1
840,1,60,1
841,1,63,1
842,0,71,1
843,0,61,1
844,1,59,1
845,0,62,1
846,1,61,2
847,0,60,1
848,1,55,1
849,0,64,1
850,1,66,1
851,0,59,1
852,1,57,1
853,0,61,1
854,1,52,1
855,0,62,1
856,1,64,1
857,0,64,1
858,0,59,1
859,1,57,1
860,0,61,1
861,1,61,1
862,1,66,1
863,0,69,1
864,1,66,1
865,0,69,1
866,1,66,1
867,0,61,1
868,1,54,1
869,1,58,1
870,0,62,1
871,1,66,1
872,0,72,1
873,0,61,2
874,1,54,1
875,0,59,1
876,1,56,1
877,0,66,1
878,1,63,1
879,0,65,2
880,0,63,2
881,1,61,1
882,1,68,1
883,1,68,1
884,0,60,1
885,1,57,1
886,0,63,1
887,1,57,1
888,1,60,1
889,0,58,1
890,1,58,1
891,0,64,1
892,1,68,1
893,1,59,1
894,1,67,1
895,0,65,1
896,1,67,1
897,0,70,1
898,1,62,2
899,0,58,1
900,1,55,1
901,1,66,2
902,0,71,2
903,0,61,3
904,1,58,1
905,1,68,2
906,0,66,1
907,1,65,1
908,1,63,3
909,1,68,1
910,0,64,2
911,0,60,1
912,1,58,1
913,1,67,1
914,1,67,1
915,0,73,2
916,1,64,1
917,0,61,1
918,1,61,1
919,0,66,1
920,1,55,1
921,0,64,1
922,1,58,1
923,0,58,1
924,1,58,1
925,1,62,1
926,0,64,1
927,1,67,1
928,0,62,1
929,1,63,1
930,1,62,1
931,0,73,1
932,1,66,1
933,0,70,1
934,0,61,2
935,1,54,1
936,1,66,1
937,0,71,1
938,1,69,2
939,1,69,1
940,0,75,3
941,1,58,1
942,0,58,1
943,1,53,1
944,1,63,1
945,0,62,1
946,1,63,1
947,1,63,1
948,0,73,1
949,1,60,1
950,1,69,1
951,0,67,1
952,1,65,1
953,1,62,3
954,0,70,1
955,0,58,1
956,1,56,1
957,1,64,1
958,1,64,1
959,0,68,1
960,0,62,1
961,0,58,1
962,0,65,1
963,1,59,1
964,0,63,1
965,1,59,2
966,1,65,2
967,1,62,3
968,0,67,3
969,1,61,1
970,0,61,2
971,0,60,1
972,1,59,1
973,0,59,1
974,1,58,1
975,1,62,1
976,0,70,1
977,0,65,1
978,1,67,1
979,0,64,1
980,1,65,1
981,1,62,2
982,1,67,1
983,1,67,1
984,0,66,1
985,1,60,1
986,0,61,1
987,1,67,1
988,0,67,1
989,1,63,1
990,1,69,1
991,0,68,1
992,0,58,1
993,0,59,1
994,1,60,1
995,0,67,1
996,1,62,1
997,1,59,1
998,1,61,1
999,1,67,1
1000,0,59,1
1001,1,59,1
1002,0,67,1
1003,0,59,1
1004,1,55,1
1005,1,60,1
1006,0,61,1
1007,1,66,1
1008,0,72,3
1009,1,66,1
1010,0,64,3
1011,1,62,1
1012,1,69,1
1013,1,68,1
1014,0,70,1
1015,1,65,1
1016,1,69,1
1017,0,73,1
1018,0,61,1
1019,1,57,1
1020,1,67,1
1021,0,75,1
1022,1,63,1
1023,0,56,1
1024,1,60,1
1025,0,63,1
1026,0,58,1
1027,1,57,1
1028,0,65,1
1029,1,76,1
1030,1,68,3
1031,0,76,2
1032,1,67,1
1033,1,60,1
1034,1,60,1
1035,0,67,1
1036,1,65,1
1037,0,59,1
1038,0,60,1
1039,1,56,1
1040,0,61,1
1041,1,59,1
1042,0,61,1
1043,1,57,1
1044,1,67,1
1045,0,68,1
1046,1,65,1
1047,0,54,1
1048,1,60,1
1049,0,59,1
1050,1,60,1
1051,0,58,1
1052,1,55,1
1053,0,62,1
1054,1,65,1
1055,0,66,1
1056,1,59,1
1057,0,62,2
1058,1,67,2
1059,1,60,1
1060,0,63,1
1061,0,60,2
1062,1,54,1
1063,0,63,1
1064,1,62,1
1065,0,72,1
1066,0,67,1
1067,1,66,1
1068,0,59,1
1069,1,57,1
1070,0,64,1
1071,1,57,1
1072,0,64,1
1073,0,56,2
1074,0,64,2
1075,0,60,2
1076,1,62,1
1077,1,59,1
1078,1,61,1
1079,0,66,1
1080,1,63,1
1081,0,59,1
1082,0,63,1
1083,1,57,1
1084,0,65,1
1085,1,57,1
1086,0,63,1
1087,1,63,1
1088,0,67,3
1089,1,63,3
1090,0,69,1
1091,1,61,1
1092,0,63,1
1093,1,59,1
1094,0,69,1
1095,0,64,1
1096,1,55,1
1097,0,59,1
1098,1,61,1
1099,0,67,1
1100,0,62,1
1101,1,61,1
1102,1,62,1
1103,0,63,1
1104,1,64,1
1105,0,68,1
1106,1,66,3
1107,1,66,1
1108,0,65,2
1109,0,60,1
1110,1,56,1
1111,1,64,1
1112,1,63,1
1113,0,67,2
1114,0,58,1
1115,1,56,1
1116,0,68,1
1117,1,55,1
1118,0,62,1
1119,1,67,2
1120,1,61,1
1121,1,67,1
1122,1,67,1
1123,1,61,1
1124,0,67,2
1125,1,66,1
1126,0,59,1
1127,1,63,1
1128,0,57,1
1129,0,66,1
1130,1,62,1
1131,1,59,1
1132,0,67,1
1133,1,63,1
1134,1,54,2
1135,0,68,2
1136,1,63,1
1137,1,60,1
1138,0,70,3
1139,1,65,1
1140,1,67,2
1141,0,68,3
1142,0,62,3
1143,1,66,2
1144,0,64,1
1145,1,62,2
1146,0,67,1
1147,1,59,1
1148,0,67,2
1149,0,71,1
1150,1,68,1
1151,0,70,2
1152,0,60,1
1153,1,56,1
1154,1,56,1
1155,0,63,1
1156,1,67,1
1157,1,55,1
1158,0,53,1
1159,0,67,1
1160,1,62,1
1161,0,65,1
1162,1,63,1
1163,0,64,2
1164,1,64,1
1165,1,62,1
1166,0,63,1
1167,1,66,1
1168,0,58,1
1169,1,54,2
1170,0,65,1
1171,1,61,1
1172,1,69,1
1173,0,70,1
1174,0,62,1
1175,1,57,1
1176,1,62,2
1177,1,62,3
1178,0,64,2
1179,1,68,3
1180,1,62,1
1181,0,67,1
1182,1,69,1
1183,1,64,2
1184,0,65,1
1185,1,64,1
1186,0,63,1
1187,0,58,1
1188,1,55,3
1189,1,67,1
1190,0,68,1
1191,0,63,1
1192,0,61,1
1193,1,57,1
1194,0,67,1
1195,1,64,2
1196,0,62,2
1197,1,58,1
1198,0,64,1
1199,1,63,1
1200,1,65,1
1201,0,69,1
1202,1,63,1
1203,1,69,1
1204,1,62,1
1205,1,65,1
1206,0,66,1
1207,1,52,1
1208,1,59,1
1209,1,66,1
1210,1,63,1
1211,1,67,2
1212,0,72,1
1213,1,67,2
1214,0,70,3
1215,1,69,3
1216,0,60,1
1217,1,69,1
1218,1,60,2
1219,1,60,3
1220,0,60,1
1221,1,57,1
1222,1,63,1
1223,1,63,1
1224,0,60,1
1225,1,63,1
1226,1,59,1
1227,1,61,1
1228,0,70,1
1229,0,65,1
1230,0,65,1
1231,1,60,2
1232,1,65,1
1233,0,66,1
1234,0,62,1
1235,1,65,2
1236,1,65,1
1237,0,65,1
1238,1,57,1
1239,1,69,1
1240,0,69,1
1241,1,59,1
1242,0,61,1
1243,0,69,1
1244,1,64,1
1245,0,60,3
1246,1,62,1
1247,0,58,1
1248,0,62,1
1249,1,67,3
1250,0,63,2
1251,1,58,2
1252,1,62,1
1253,1,67,1
1254,0,63,2
1255,1,65,1
1256,0,64,1
1257,0,61,1
1258,1,58,1
1259,0,59,1
1260,1,56,1
1261,1,67,1
1262,1,60,1
1263,0,58,1
1264,0,63,2
1265,1,58,1
1266,0,59,3
1267,1,61,1
1268,0,66,1
1269,1,58,1
1270,0,61,1
1271,0,65,1
1272,1,58,1
1273,0,54,1
1274,0,61,1
1275,1,65,1
1276,0,71,1
1277,1,62,1
1278,1,67,1
1279,1,64,1
1280,0,75,1
1281,1,60,1
1282,0,59,1
1283,1,64,1
1284,0,59,1
1285,1,56,1
1286,0,64,1
1287,1,58,1
1288,1,61,1
1289,0,65,1
1290,1,64,1
1291,1,67,2
1292,0,70,1
1293,0,63,2
1294,1,67,2
1295,0,69,1
1296,1,67,1
1297,0,73,1
1298,0,61,1
1299,0,58,1
1300,0,59,1
1301,0,61,1
1302,1,60,1
1303,0,61,1
1304,1,54,1
1305,1,60,1
1306,0,63,1
1307,1,56,1
1308,0,67,1
1309,1,65,1
1310,0,64,2
1311,1,66,2
1312,1,63,1
1313,1,64,1
1314,0,61,1
1315,1,53,1
1316,0,60,1
1317,0,65,3
1318,1,65,1
1319,1,67,2
1320,1,61,1
1321,0,59,1
1322,1,55,1
1323,0,60,1
1324,1,57,1
1325,0,61,1
1326,0,64,1
1327,1,56,1
1328,0,58,1
1329,1,54,1
1330,0,61,2
1331,1,64,1
1332,0,68,3
1333,1,61,1
1334,1,67,1
1335,1,67,1
1336,0,73,1
1337,1,61,1
1338,0,60,1
1339,1,63,2
1340,0,58,1
1341,0,63,1
1342,1,56,1
1343,0,62,1
1344,1,59,1
1345,0,59,3
1346,0,63,1
1347,1,62,1
1348,1,59,1
1349,0,62,2
1350,1,68,2
1351,0,77,3
1352,0,64,1
1353,1,60,1
1354,1,66,1
1355,0,81,1
1356,1,59,1
1357,0,76,3
1358,0,62,3
1359,1,62,1
1360,1,58,1
1361,1,63,2
1362,1,66,2
1363,0,78,3
1364,1,63,1
1365,1,63,1
1366,0,66,1
1367,0,58,1
1368,1,58,1
1369,0,61,1
1370,1,58,1
1371,1,59,1
1372,1,64,1
1373,0,66,1
1374,1,65,1
1375,0,61,1
1376,0,66,1
1377,1,65,2
1378,1,65,1
1379,0,62,3
1380,1,53,1
1381,1,61,2
1382,1,58,1
1383,0,56,1
1384,0,64,1
1385,1,63,1
1386,1,63,1
1387,0,58,1
1388,1,55,1
1389,1,57,1
1390,1,63,1
1391,0,63,1
1392,0,59,1
1393,1,57,1
1394,1,58,1
1395,0,73,2
1396,0,67,1
1397,0,64,1
1398,1,58,1
1399,0,63,1
1400,0,64,1
1401,1,57,1
1402,0,65,1
1403,1,55,1
1404,0,61,1
1405,1,59,1
1406,0,59,3
1407,1,68,1
1408,0,68,1
1409,1,63,1
1410,0,68,1
1411,1,64,1
1412,1,68,2
1413,1,66,1
1414,0,72,1
1415,0,58,1
1416,1,52,1
1417,0,61,1
1418,1,55,1
1419,0,64,2
1420,1,64,1
1421,1,61,1
1422,0,57,1
1423,0,59,1
1424,1,69,1
1425,0,65,1
1426,0,64,1
1427,1,61,1
1428,1,68,1
1429,0,59,1
1430,1,66,1
1431,0,58,1
1432,1,61,2
1433,0,56,1
1434,1,61,1
1435,0,62,1
1436,1,68,1
1437,0,75,1
1438,0,70,1
1439,1,60,1
1440,0,62,1
1441,0,59,1
1442,1,57,1
1443,1,62,1
1444,0,66,1
1445,0,59,1
1446,1,56,1
1447,1,63,1
1448,0,65,3
1449,1,62,1
1450,0,69,1
1451,1,70,1
1452,1,65,1
1453,0,66,1
1454,0,58,1
1455,1,61,1
1456,0,60,1
1457,0,68,1
1458,1,60,2
1459,1,59,1
1460,1,60,1
1461,1,59,1
1462,0,62,2
1463,0,61,1
1464,1,58,2
1465,1,61,1
1466,1,67,1
1467,0,61,3
1468,1,58,1
1469,1,61,2
1470,1,58,1
1471,0,61,2
1472,0,67,1
1473,1,55,1
1474,1,65,2
1475,0,65,1
1476,1,59,1
1477,0,69,1
1478,1,58,1
1479,1,64,1
1480,1,64,3
1481,0,67,2
1482,1,59,2
1483,0,61,1
1484,1,55,1
1485,0,62,1
1486,1,62,1
1487,1,68,2
1488,0,72,1
1489,0,67,1
1490,1,59,1
1491,0,58,2
1492,0,62,1
1493,1,54,1
1494,1,68,1
1495,0,67,1
1496,0,68,1
1497,1,64,1
1498,0,60,1
1499,1,57,1
1500,1,66,1
1501,1,62,1
1502,0,63,1
1503,0,65,1
1504,1,62,1
1505,1,59,1
1506,0,59,1
1507,0,62,1
1508,0,63,1
1509,1,59,1
1510,0,66,1
1511,1,68,1
1512,1,59,1
1513,0,61,1
1514,1,58,1
1515,1,66,1
1516,0,63,1
1517,1,63,1
1518,0,61,1
1519,1,57,1
1520,0,59,1
1521,1,53,1
1522,0,61,1
1523,1,55,1
1524,1,59,1
1525,0,65,1
1526,0,73,1
1527,0,66,1
1528,1,65,1
1529,1,66,1
1530,0,71,1
1531,0,61,1
1532,1,59,2
1533,0,59,1
1534,1,58,1
1535,0,62,1
1536,1,56,1
1537,0,65,1
1538,1,64,1
1539,1,59,1
1540,0,59,1
1541,1,56,1
1542,0,63,1
1543,1,54,1
1544,1,67,2
1545,1,61,2
1546,0,67,1
1547,0,69,1
1548,0,60,1
1549,0,62,1
1550,1,62,1
1551,0,61,1
1552,0,68,1
1553,1,68,1
1554,1,59,1
1555,0,71,1
1556,1,60,1
1557,0,67,1
1558,1,64,1
1559,0,58,1
1560,1,57,1
1561,1,63,1
1562,1,58,1
1563,0,54,1
1564,0,61,1
1565,1,66,1
1566,1,65,1
1567,0,61,1
1568,1,65,1
1569,0,60,1
1570,1,57,1
1571,0,64,1
1572,1,63,1
1573,1,67,1
1574,0,77,1
1575,1,62,1
1576,1,58,1
1577,0,61,1
1578,1,58,1
1579,0,62,1
1580,1,62,1
1581,0,64,1
1582,1,65,1
1583,1,63,1
1584,0,56,1
1585,0,63,1
1586,1,60,1
1587,0,59,1
1588,1,56,1
1589,1,60,1
1590,1,58,1
1591,0,57,1
1592,1,65,1
1593,1,61,1
1594,0,62,1
1595,1,54,1
1596,1,62,1
1597,1,62,1
1598,0,76,1
1599,1,64,1
1600,0,72,1
1601,1,67,1
1602,0,72,2
1603,0,66,1
1604,1,64,1
1605,0,65,1
1606,1,62,1
1607,1,59,1
1608,1,68,1
1609,0,75,1
1610,0,64,1
1611,1,65,1
1612,0,61,1
1613,0,62,1
1614,1,57,1
1615,0,66,1
1616,0,64,2
1617,1,61,1
1618,1,63,2
1619,0,66,1
1620,0,65,1
1621,1,63,1
1622,1,62,1
1623,0,61,1
1624,1,68,1
1625,1,63,1
1626,0,59,1
1627,1,62,1
1628,1,61,1
1629,1,64,1
1630,0,71,1
1631,0,63,1
1632,1,67,1
1633,0,69,1
1634,1,67,1
1635,0,72,1
1636,1,62,1
1637,1,64,1
1638,0,67,1
1639,1,65,1
1640,0,64,1
1641,1,65,1
1642,0,67,1
1643,1,65,2
1644,0,70,3
1645,1,67,1
1646,1,69,1
1647,0,71,1
1648,0,68,2
1649,1,60,1
1650,0,61,1
1651,1,59,1
1652,0,66,1
1653,1,53,1
1654,1,68,1
1655,0,63,2
1656,1,61,1
1657,1,59,1
1658,1,60,1
1659,0,65,1
1660,1,63,1
1661,0,73,2
1662,1,58,1
1663,1,68,1
1664,0,61,1
